Index,HeadLines
1,"Trump wants US to 'take over' Gaza and own it 'long term', with Palestinians resettled"
2,Trump's Gaza plan will be seen as flying in face of international law
3,India looks on nervously as Trump wields tariff threat
4,Swedish police about to give update after 10 people killed in shooting
5,'There was blood everywhere' - witnesses shocked after Sweden school shooting
6,Trump's Gaza plan will be seen as flying in face of international law
7,Watch: Trump says US could 'take over' Gaza
8,Philippines feud escalates as lawmakers vote to impeach vice-president
9,US Postal Service halts China parcels after Trump tariffs
10,India looks on nervously as Trump wields tariff threat
11,US military plane carrying deported Indians lands in Punjab
12,Billionaire and spiritual leader the Aga Khan dies
13,Mosul's landmarks rise again after IS destruction
14,"First glimpse inside burnt scroll after 2,000 years"
15,UK denies it faces paying billions more for Chagos deal
16,Trump's tariffs
17,Ros Atkins on...What is the US getting out of tariffs?
18,Trump faces moment of reckoning on trade after delaying tariffs
19,Beijing hits back – can China and US avoid trade war escalation?
20,How does fentanyl get into the US?
21,'Both sides suffer' - Shanghai residents on tensions over tariffs
22,More to explore
23,Banksy fan badger wins hearts in wildlife photo competition
24,WATCH: Record-breaking snow hits northern Japan
25,'It's like hell': Race to evacuate residents from Ukraine front-line city
26,What we know so far about Sweden school shooting
27,"Ghana wants more for its cashews, but it's a tough nut to crack"
28,WATCH: Record-breaking snow hits northern Japan
29,Five ways China is hitting back against US tariffs
30,Could US criminals be sent to El Salvador's mega-jail?
31,'It's like hell': Race to evacuate residents from Ukraine front-line city
32,Most watched
33,Watch: Trump says US could 'take over' Gaza
34,Ros Atkins on...What is the US getting out of tariffs?
35,BBC's Sarah Smith unpacks Trump's wish for US to 'own' Gaza
36,Watch: Moment victim's family attacks murder suspect in court
37,American man flies 14 hours a game to follow NUFC
38,Most read
39,Philippines feud escalates as lawmakers vote to impeach vice-president
40,Billionaire and spiritual leader the Aga Khan dies
41,Trump's Gaza plan will be seen as flying in face of international law
42,US military plane carrying deported Indians lands in Punjab
43,US Postal Service halts China parcels after Trump tariffs
44,'There was blood everywhere' - witnesses shocked after Sweden school shooting
45,"First glimpse inside burnt scroll after 2,000 years"
46,India looks on nervously as Trump wields tariff threat
47,What we know so far about Sweden school shooting
48,Police say 11 people killed in Sweden school campus shooting
49,Also in news
50,Why Trump tariffs could mean Barbie dolls cost more
51,Australia bans DeepSeek on government devices over security risk
52,Thousands evacuate Santorini as earthquakes strike Greek island
53,Top Trump nominees advance as Senate confirms attorney general
54,"I will not stop working, Anna Wintour tells King Charles"
55,Australia bans DeepSeek on government devices over security risk
56,"100,000 eggs stolen from one US grocer as bird flu drives up prices"
57,Jury selection begins at trial of man accused of blinding Salman Rushdie
58,Thousands evacuate Santorini as earthquakes strike Greek island
59,Sport
60,Liverpool news conference: Slot rules out Alexander-Arnold
61,Smith set to start at fly-half for England
62,Mainoo & Garnacho could yet leave Man Utd - Wednesday's gossip
63,"Billionaire Aga Khan, owner of Shergar, dies aged 88"
64,Former Wimbledon champion Halep announces retirement
65,Smith set to start at fly-half for England
66,'Football dreams & a business empire' - Ronaldo's relentless drive at 40
67,'It is a revolution' - how rugby is taking Paris
68,Mainoo & Garnacho could yet leave Man Utd - Wednesday's gossip
69,Follow BBC on:
